AIRCRAFT_TYPE,TIME_OF_DAY,TIER1_ELIGIBLE_PROP,TIER2_ELIGIBLE_PROP,TIER3_ELIGIBLE_PROP
A320,Morning,0.33993877879813117,4.357982922506847,16.742924654959452
A320,Lunchtime,0.3940995156318803,4.548656979304272,17.2750623807427
A320,Afternoon,0.3416300634455832,4.313486253456971,16.587359687652512
A320,Evening,0.328410294759145,4.451610893001807,16.995700130865583
A350,Morning,0.1665714052421001,2.456111700824692,9.408018290193517
A350,Lunchtime,0.10985992859104642,2.327657237022796,9.001647898928866
A350,Afternoon,0.2139061018369462,2.513948000970296,9.49125631243522
A350,Evening,0.16088954039221293,2.248878242371154,8.729151397057509
A380,Morning,0.11687593777146014,1.8273710811024244,6.900418542209587
A380,Lunchtime,0.0633896156284216,1.475249236443266,5.889471561113353
A380,Afternoon,0.1258766408919259,1.6209828653633724,6.270711845248799
A380,Evening,0.12335019119279633,1.5965039031524784,6.193941743466845
B777,Morning,0.21710536129462754,2.862015801028859,10.913430954039816
B777,Lunchtime,0.21007803515535925,2.7580796361418187,10.522348290604373
B777,Afternoon,0.18898258742142848,2.872681417112406,10.914933334368106
B777,Evening,0.22822564282698468,2.747415613068558,10.571893099115126
B787,Morning,0.28340527861894443,3.6444787386263995,13.89675523006069
B787,Lunchtime,0.22408518708425937,3.7071489571145975,14.1408005909449
B787,Afternoon,0.2510633232733474,3.646399450758263,13.896274927402334
B787,Evening,0.28904541288619906,3.6838656293575873,13.974736691995904
